lon,lat,result_discrete,prob
62,74,3,0.9751794934272766
63,74,3,0.9981655478477478
64,74,3,0.8828166723251343
65,74,3,0.9997050166130066
66,74,3,0.9081697463989258
67,74,3,0.9985606074333191
68,74,3,0.8759321570396423
69,74,3,0.9857860207557678
70,74,3,0.7262179851531982
71,74,3,0.863438069820404
72,74,3,0.9527701735496521
73,74,3,0.6387300491333008
74,74,3,0.9977620840072632
75,74,3,0.6697399616241455
76,74,3,0.9821783900260925
77,74,3,0.9608625769615173
78,74,3,0.9551689624786377
79,74,3,0.9634959101676941
80,74,3,0.9811599850654602
81,74,3,0.9720941781997681
82,74,3,0.9971730709075928
83,74,3,0.9941283464431763
85,74,11,0.9971514344215393
86,74,3,0.9998237490653992
87,74,3,0.9994726777076721
109,74,3,0.9191780090332031
110,74,3,0.9997829794883728
111,74,3,0.9275355935096741
112,74,3,0.9994741082191467
113,74,3,0.9625095725059509
114,74,11,0.8513100147247314
115,74,3,0.891559898853302
116,74,11,0.7011731863021851
117,74,11,0.5700942277908325
118,74,3,0.5954905152320862
119,74,11,0.6063848733901978
120,74,11,0.7181811928749084
121,74,11,0.8433348536491394
122,74,11,0.9143158793449402
123,74,11,0.9444870352745056
124,74,11,0.512458860874176
125,74,11,0.9733930826187134
126,74,11,0.9999010562896729
127,74,11,0.9918522238731384
128,74,11,0.9995912909507751
129,74,11,0.9997362494468689
130,74,11,0.99793541431427
131,74,11,0.9999423027038574
132,74,11,1.0
133,74,11,1.0
134,74,11,0.9996848106384277
135,74,11,0.999966025352478
137,74,11,0.9955843091011047
138,74,11,0.9998966455459595
139,74,11,0.9999873638153076
140,74,11,1.0
142,74,11,1.0
143,74,11,0.9923951625823975
144,74,11,0.9999427795410156
145,74,11,0.9999696016311646
146,74,11,1.0
147,74,11,1.0
148,74,11,0.9999994039535522
149,74,11,0.9998452663421631
150,74,11,0.9999773502349854
151,74,11,0.99974125623703
152,74,11,0.9998074173927307
153,74,11,0.9973875880241394
154,74,11,0.9999041557312012
155,74,11,0.9999562501907349
156,74,11,0.9999550580978394
157,74,11,0.9999932050704956
158,74,11,0.9999872446060181
159,74,11,0.9999877214431763
160,74,11,0.999976396560669
161,74,11,0.9999654293060303
162,74,11,0.9999954700469971
163,74,11,0.999984622001648
164,74,11,0.9999710321426392
165,74,11,0.9999923706054688
